"Title","AWE: Whole Economy Level (£): Seasonally Adjusted Total Pay Excluding Arrears"
"2016 JAN","489"
"2016 FEB","486"
"2016 MAR","492"
"2016 APR","493"
"2016 MAY","493"
"2016 JUN","493"
"2016 JUL","496"
"2016 AUG","495"
"2016 SEP","495"
"2016 OCT","497"
"2016 NOV","498"
"2016 DEC","496"
"2017 JAN","497"
"2017 FEB","499"
"2017 MAR","502"
"2017 APR","502"
"2017 MAY","503"
"2017 JUN","507"
"2017 JUL","504"
"2017 AUG","507"
"2017 SEP","509"
"2017 OCT","508"
"2017 NOV","509"
"2017 DEC","511"
"2018 JAN","510"
"2018 FEB","513"
"2018 MAR","519"
"2018 APR","513"
"2018 MAY","515"
"2018 JUN","518"
"2018 JUL","520"
"2018 AUG","523"
"2018 SEP","524"
"2018 OCT","530"
"2018 NOV","525"
"2018 DEC","527"
"2019 JAN","529"
"2019 FEB","531"
"2019 MAR","533"
"2019 APR","533"
"2019 MAY","535"
"2019 JUN","538"
"2019 JUL","541"
"2019 AUG","540"
"2019 SEP","546"
"2019 OCT","542"
"2019 NOV","542"
"2019 DEC","540"
"2020 JAN","545"
"2020 FEB","546"
"2020 MAR","542"
"2020 APR","527"
"2020 MAY","528"
"2020 JUN","530"
"2020 JUL","540"
"2020 AUG","550"
"2020 SEP","557"
"2020 OCT","562"
"2020 NOV","570"
"2020 DEC","567"
"2021 JAN","570"
"2021 FEB","568"
"2021 MAR","559"
"2021 APR","575"
"2021 MAY","580"
"2021 JUN","576"
"2021 JUL","580"
"2021 AUG","582"
"2021 SEP","586"
"2021 OCT","586"
"2021 NOV","590"
"2021 DEC","600"
"2022 JAN","600"
"2022 FEB","601"
"2022 MAR","614"
"2022 APR","604"
"2022 MAY","605"
"2022 JUN","612"
"2022 JUL","614"
"2022 AUG","618"
"2022 SEP","621"
